Code,CodeDescription,chap,HistoricalNotes,Notes,active,CodingPrinciples
0025B,BH5 PRE COMPOUNDING TEST,34.0.0,New code added in September 2019,,True,
0025G,Single Gene Test P53 sequencing,34.1.3,New code added in June 2018,,True,
0026B,Lysosomal acid lipase,34.5.0,New code added in July 2021,,True,
0026G,"CD-274 (PD-L1) mutation analysis (tumour) 
",34.1.3,New code added in March 2018,,True,
0027B,Glucagon Stimulation Test,34.2.0,New code added in July 2021,,True,
0027G,Single Gene Test PTEN gene,34.1.3,New code added in June 2018,,True,
0028B,TB Elispot,34.3.0,New code added in September 2021,,True,
0028G,Single Gene Test SRD5A2 gene,34.1.3,New code added in June 2018,,True,
0029B,MLH1 Promoter Hypermethylation,34.5.0,New code added in April 2023,,True,
0029G,Single Gene Test FGFR2 gene,34.1.3,New code added in June 2018,,True,
0029T,Cultured Fibroblast analysis,34.1.3,New code added in September 2021,,True,
0030G,Single Gene Test FGFR3 gene,34.1.3,New code added in June 2018,,True,
0031G,Single Gene Test PHOX2B gene,34.1.3,New code added in June 2018,,True,
0032G,"CD-274 (PD-L1) mutation analysis (blood) 
",34.1.3,New code added in March 2018,,True,
0033G,Single Gene Test PDGFRA gene,34.1.3,New code added in June 2018,,True,
0034G,"CD-279 (PD-1) mutation analysis (tumour)
",34.1.3,New code added in March 2018,,True,
0035G,"CD-279 (PD-1) mutation analysis (blood)
",34.1.3,New code added in March 2018,,True,
0036G,Familial Pituitary Adenoma AIP,34.0.0,New code added in August 2020,,True,
0037G,Mdm2 gene  amplification,34.0.0,New code added in September 2019,,True,
0038G,12 gene HRD panel,34.1.3,New code added in June 2023,,True,
0039G,Urine-based MRD genomic sequencing,34.1.3,New code added in June 2023,,True,
0040G,MRD genomic sequencing blood cancers,34.1.3,New code added in June 2023,,True,
0041G,Beta Catenin Mutation,34.1.3,New code added in June 2023,,True,
0042G,CCND1 T(11:14),34.1.3,New code added in June 2023,,True,
0043G,Iron regulatory gene panel,34.1.3,New code added in August 2023,,True,
0044G,Nucleophosmin (NPM1) on Bone Marrow,34.1.3,New code added in August 2023,,True,
0045G,RET FISH Special IHC/ISH,34.1.3,New code added in August 2023,,True,
0046B,Sm (Smith) immunoglobulin G antibody,34.3.0,,,True,
0046G,MRD Genomic Sequencing Solid Tumours,34.1.3,New code added in August 2023,,True,
0047G,Pan-Cardiomyopathy Panel (100 Gene Sequencing),34.1.3,New code added in February 2024,,True,
0048B,Potassium level,34.1.1,,,True,8102B
0048C,Potassium level,34.1.1,,,True,
0048F,Potassium level,34.1.1,,,True,
0048G,PTPN11 Noonan gene (PTPN),34.1.3,New code added in February 2024,,True,
0048U,Potassium level,34.1.1,,,True,8105U
0049B,Sodium level,34.1.1,,,True,8102B
0049C,Sodium level,34.1.1,,,True,
0049F,Sodium level,34.1.1,,,True,
0049G,Hereditary Pancreatitis Panel (HPAN),34.1.3,New code added in February 2024,,True,
0049O,Sodium level,34.1.1,,,True,
0049U,Sodium level,34.1.1,,,True,8105U
0050C,"JAPANESE ENCAPHALITIS ANTIBODY
",34.1.3,New code added in March 2018,,True,
0050G,Pheochromocytoma and paraganglioma (NGS of 17 genes),34.1.3,New code added in April 2024,,True,
0050U,Sodium output,34.1.1,,,True,
0051G,Urine Guanidinoacetate - (GUAN),34.1.3,New code added in April 2024,,True,
0052B,&#945;-Hydroxybutyrate dehydrogenase (&#945;-HBDH),34.1.1,,,True,
0052G,ClonoSEQ,34.1.3,New code added in June 2024Code inactivated in June 2024,,False,
0053B,3-hydroxybutyrate level,34.1.1,,,True,
0053U,3-hydroxybutyrate level,34.1.1,,,True,5914U
0054B,Beta-mannosidase activity,34.1.1,,,True,
0054S,Beta-mannosidase activity,34.1.1,,,True,
0055O,Sweat test,34.1.1,,,True,
0056G,ClonoSEQ,34.1.3,New code added in June 2024,,True,
0057B,Beta-N-acetylhexosaminidase activity,34.1.1,,,True,
0057S,Beta-N-acetylhexosaminidase activity,34.1.1,,,True,
0065B,Bilirubin unconjugated level,34.1.1,,,True,
0066B,Bilirubin conjugated level,34.1.1,,,True,"8060B, 8061B"
0067C,Xanthochromia,34.1.1,,,True,
0080S,Secretory immunoglobulin A,34.3.0,,,True,
0081B,Selenium level,34.1.1,,,True,
0081H,Selenium level,34.1.1,,,True,
0081T,Selenium level,34.1.1,,,True,
0081U,Selenium level,34.1.1,,,True,
0083B,Seminal fluid specific immunoglobulin E antibody,34.3.0,,,True,
0087B,Serine level,34.1.1,,,True,1584B
0087C,Serine level,34.1.1,,,True,
0087U,Serine level,34.1.1,,,True,1584U
0090B,Serotonin level,34.1.1,,,True,
0090U,Serotonin level,34.1.1,,,True,
0093B,Sex hormone binding globulin level,34.1.1,,,True,
0101B,ALCA – Anti-Liver Cytosol (LC1) Antibodies,34.2.0,New code added in February 2019,,True,
0102B,Ovarian immunoglobulin G antibody,34.3.0,,,True,
0103B,Parathyroid immunoglobulin G antibody,34.3.0,,,True,
0104B,Gastric parietal cell immunoglobulin G antibody,34.3.0,,,True,
0106B,Purkinje cell immunoglobulin G antibody,34.3.0,,,True,
0107B,Reticulin R1 immunoglobulin G antibody,34.3.0,,,True,
0109B,Salivary gland immunoglobulin G antibody,34.3.0,,,True,
0110B,Skeletal muscle immunoglobulin G antibody,34.3.0,,,True,
0123U,Tetrahydro-11-deoxycortisol level,34.1.1,,,True,
0124B,Tetrahydrocorticosterone level,34.1.1,,,True,
0124U,Tetrahydrocorticosterone level,34.1.1,,,True,
0125B,Tetrahydrocortisol level,34.1.1,,,True,
0125U,Tetrahydrocortisol level,34.1.1,,,True,
0127B,Tetrahydrocortisone level,34.1.1,,,True,
0127U,Tetrahydrocortisone level,34.1.1,,,True,
0132B,Thallium level,34.1.1,,,True,
0132U,Thallium level,34.1.1,,,True,
0133B,Theophylline level,34.1.1,,,True,
0134B,Thermoactinomyces thalpophilus specific immunoglobulin G antibody,34.3.0,,,True,
0135B,Thiocyanate level,34.1.1,,,True,
0135U,Thiocyanate level,34.1.1,,,True,
0136B,Thioguanine level,34.1.1,,,True,
0138B,Thiopental level,34.1.1,,,True,
0142B,JC polyoma virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0142C,JC polyoma virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0142O,JC polyoma virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0142T,JC polyoma virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0153B,Kaolin clotting time,34.2.0,,,True,
0183B,Ethanolamine level,34.1.1,,,True,
0183T,Ethanolamine level,34.1.1,,,True,
0183U,Ethanolamine level,34.1.1,,,True,
0185B,Ethosuximide level,34.1.1,,,True,
0185U,Ethosuximide level,34.1.1,,,True,
0186B,Ethylene glycol level,34.1.1,,,True,
0186U,Ethylene glycol level,34.1.1,,,True,
0219B,Inner ear protein immunoglobulin G antibody,34.3.0,,,True,
0223B,Insulin level,34.1.1,,,True,
0223O,Insulin level,34.1.1,,,True,
0224B,Insulin receptor immunoglobulin G antibody,34.1.1,,,True,
0229B,Alpha-N-acetylgalactosaminidase activity,34.1.1,,,True,
0229S,Alpha-N-acetylgalactosaminidase activity,34.1.1,,,True,
0230B,Acetyl choline receptor immunoglobulin G antibody,34.3.0,,,True,
0234B,Acid esterase level,34.1.1,,,True,
0236B,Acid phosphatase level,34.1.1,,,True,
0236O,Acid phosphatase level,34.1.1,,,True,
0241B,Adrenocorticotropic hormone level,34.1.1,,,True,
0264F,Laxative screen,34.1.1,,,True,
0264U,Laxative screen,34.1.1,,,True,"1124U, 1125U, 1951F, 1951U, 2798U"
0269B,Lead level,34.1.1,,,True,
0269U,Lead level,34.1.1,,,True,
0279B,Rubella virus immunoglobulin M antibody,34.4.0,,,True,
0279L,Rubella virus immunoglobulin M antibody,34.4.0,,,True,
0286B,Salicylate level,34.1.1,,,True,
0286U,Salicylate level,34.1.1,,,True,
0299B,Sarcosine level,34.1.1,,,True,1584B
0299U,Sarcosine level,34.1.1,,,True,1584U
0302B,Luteinising hormone level,34.1.1,,,True,0533B
0302U,Luteinising hormone level,34.1.1,,,True,
0309B,Varicella zoster virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0309C,Varicella zoster virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0309O,Varicella zoster virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0309T,Varicella zoster virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0310B,Warfarin level,34.1.1,,,True,
0310U,Warfarin level,34.1.1,,,True,
0321B,Cortisol level,34.1.1,,,True,0533B
0321D,Cortisol level,34.1.1,,,True,
0321L,Cortisol level,34.1.1,,,True,
0321O,Cortisol level,34.1.1,,,True,
0321U,Cortisol level,34.1.1,,,True,
0325B,Immunoglobulin G,34.1.1,,,True,
0325C,Immunoglobulin G,34.1.1,,,True,
0326B,Immunoglobulin A,34.1.0,,,True,
0327B,"Immunoglobulin G subclasses (1,2,3,4)",34.1.0,,,True,
0329B,Immunoglobulin D,34.1.0,,,True,
0330B,Immunoglobulin E,34.1.0,,,True,
0331B,Immunoglobulin M,34.1.0,,,True,
0332B,Immunoglobulins profile,34.3.0,,,True,
0336B,Immunoglobulin A1,34.1.0,,,True,
0337B,Immunoglobulin A2,34.1.0,,,True,
0350F,Calprotectin level,34.1.1,,,True,
0351B,Ro (SSA) immunoglobulin G antibody,34.3.0,,,True,
0359B,Neutrophil cytoplasmic immunoglobulin G antibody,34.3.0,,,True,
0361B,Lithium level,34.1.1,,,True,
0361U,Lithium level,34.1.1,,,True,
0375B,Lorazepam level,34.1.1,,,True,
0375U,Lorazepam level,34.1.1,,,True,
0412B,Moclobemide level,34.1.1,,,True,
0415B,Molybdenum level,34.1.1,,,True,
0415U,Molybdenum level,34.1.1,,,True,
0416B,6-monoacetylmorphine level,34.1.1,,,True,
0416H,6-monoacetylmorphine level,34.1.1,,,True,
0416L,6-monoacetylmorphine level,34.1.1,,,True,
0416U,6-monoacetylmorphine level,34.1.1,,,True,
0424B,Morphine level,34.1.1,,,True,
0424H,Morphine level,34.1.1,,,True,
0424L,Morphine level,34.1.1,,,True,
0424O,Morphine level,34.1.1,,,True,
0424U,Morphine level,34.1.1,,,True,
0430B,RI immunoglobulin G antibody,34.3.0,,,True,
0443B,Chenodeoxycholic acid level,34.1.1,,,True,
0455B,Herpes simplex virus type 1 and 2 deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0455C,Herpes simplex virus type 1 and 2 deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0455O,Herpes simplex virus type 1 and 2 deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0455T,Herpes simplex virus type 1 and 2 deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0461B,Herpes simplex virus type 1 and 2 immunoglobulin M antibody,34.4.0,,,True,
0461C,Herpes simplex virus type 1 and 2 immunoglobulin M antibody,34.4.0,,,True,
0462B,Herpes simplex virus type 2 immunoglobulin G antibody,34.4.0,,,True,
0462C,Herpes simplex virus type 2 immunoglobulin G antibody,34.4.0,,,True,
0465B,Heterophilic antibody,34.3.0,,,True,
0468B,Hexanoylcarnitine level,34.1.1,,,True,
0468C,Hexanoylcarnitine level,34.1.1,,,True,
0468D,Hexanoylcarnitine level,34.1.1,,,True,
0472B,Alloisoleucine level,34.1.1,,,True,
0472C,Alloisoleucine level,34.1.1,,,True,
0472D,Alloisoleucine level,34.1.1,,,True,
0472U,Alloisoleucine level,34.1.1,,,True,
0478B,Alpha-1 acid glycoprotein level,34.1.1,,,True,
0479B,Alpha-1 antichymotrypsin level,34.1.1,,,True,
0482B,Alpha-1 microglobulin level,34.1.1,,,True,
0482U,Alpha-1 microglobulin level,34.1.1,,,True,
0483B,Alpha-2 macroglobulin level,34.1.1,,,True,
0500B,Human immunodeficiency virus 1 proviral deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0500C,Human immunodeficiency virus 1 proviral deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0500O,Human immunodeficiency virus 1 proviral deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0500T,Human immunodeficiency virus 1 proviral deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
0501G,Alexanders disease (GFAP mutations),34.1.3,,Replaces code ?8129B,True,
0502G,Arx gene,34.1.3,,Replaces code ?8133B,True,
0503G,Torsion dystonia (DYT1),34.1.3,,Replaces code ?8213B,True,
0504G,YMDD mutation,34.1.3,,Replaces code ?8216B,True,
0505G,Z1C3 gene,34.1.3,,Replaces code ?8217B,True,
0506B,Phytanate level,34.1.1,,,True,
0506G,Rett syndrome,34.1.3,,Replaces code ?8197B,True,
0506S,Phytanate level,34.1.1,,,True,
0507G,SCN1A (Incl gene + deletion),34.1.3,,Replaces code ?8199B,True,
0508B,Pro-collagen II amino-terminal pro-peptide,34.1.1,,,True,
0508G,SEPN1 gene,34.1.3,,Replaces code ?8200B,True,
0509G,SLC2A1 glucose transporter,34.1.3,,Replaces code 8202B,True,
0510G,SMARD1 (IGHMBP2) gene,34.1.3,,Replaces code ?8203B,True,
0511G,SMN Gene,34.1.3,,Replaces code ?8205B,True,
0512G,Sotos syndrome NSD1,34.1.3,,Replaces code ?8206B,True,
0513G,SURF1 gene,34.1.3,,Replaces code ?8210B,True,
0514B,Fibrinogen degradation products level,34.2.0,,,True,
0514G,Myotonic dystrophy (gene),34.1.3,,Replaces code ?8185B,True,
0515B,Fibrinogen (Clauss) level,34.2.0,,,True,
0515G,Myotubular myopathy (genetic),34.1.3,,Replaces code ?8186B,True,
0516G,Neurofibromatosis 1 (NF1),34.1.3,,Replaces code ?8187B,True,
0517G,PCDH19,34.1.3,,Replaces code ?8189B,True,
0518G,Pelizaeus-Merzbacher disease,34.1.3,,Replaces code ?8190B,True,
0519G,PMP22 Gene,34.1.3,,Replaces code ?8191B,True,
0520B,Peripheral blood film,34.2.0,,,True,
0520G,PRSS1 / SPINK 1,34.1.3,,Replaces code ?8194B,True,
0521G,RAPSN mutation,34.1.3,,Replaces code ?8195B,True,
0522G,Marfan syndrome FBN1,34.1.3,,Replaces code ?8174B,True,
0523G,Mitofusin mutation analysis,34.1.3,,Replaces code ?8180B,True,
0524G,FOX P2 gene,34.1.3,,Replaces code ?8161B,True,
0525G,FOXL2 gene studies,34.1.3,,Replaces code ?8162B,True,
0526G,Gauchers disease - GBA gene,34.1.3,,Replaces code ?8164B,True,
0527B,Flavivirus immunoglobulin G antibody,34.3.0,,,True,
0527C,Flavivirus immunoglobulin G antibody,34.3.0,,,True,
0527G,Genitopatellar syndrome - KAT6B gene,34.1.3,,Replaces code ?8165B,True,
0528B,Flecainide level,34.1.1,,,True,
0528G,Glucokinase sequencing (GCK gene),34.1.3,,Replaces code ?8166B,True,
0529G,Glucose -galactose-malabsorption SGLT1 mutation,34.1.3,,Replaces code ?8167O,True,
0530G,Huntingtin gene (HD),34.1.3,,Replaces code ?8168B,True,
0531G,CHRNE gene,34.1.3,,Replaces code ?8139B,True,
0532G,C-kit mutation,34.1.3,,Replaces code ?8144B,True,
0533B,"Pituitary function profile (TSH, FSH, LH, Prolactin, GH, Cortisol)",34.1.1,,,True,"0302B, 0321B, 0534B, 0539B, 0877B, 8075B"
0533G,COL4A1 gene,34.1.3,,Replaces code ?8145B,True,
0534B,Thyroid stimulating hormone level,34.1.1,,,True,"0533B, 8094B, 8095B"
0534G,Congenital central hyperventilation syndrome (CCHS) - PHOX2B gene,34.1.3,,Replaces code ?8146B,True,
0535G,CTRC gene,34.1.3,,Replaces code ?8150B,True,
0536B,17-alpha-hydroxyprogesterone level,34.1.1,,,True,
0536D,17-alpha-hydroxyprogesterone level,34.1.1,,,True,
0536G,Digeorge syndrome 22Q11 deletion,34.1.3,,Replaces code ?8153B,True,
0536S,17-alpha-hydroxyprogesterone level,34.1.1,,,True,
0536U,17-alpha-hydroxyprogesterone level,34.1.1,,,True,
0537G,DOK-7,34.1.3,,Replaces code ?8154B,True,
0538G,Single Gene Test Hep B lamivudine resistance,34.1.3,New code added in June 2018,,True,
0538G,Single Gene Test Hep B lamivudine resistance,34.1.3,New code added in June 2018,,True,
0539B,Growth hormone level,34.1.1,,,True,0533B
0539G,Single Gene Test Connexin 32,34.1.3,New code added in June 2018,,True,
0539U,Growth hormone level,34.1.1,,,True,
0540B,18-hydroxycortisol level,34.1.1,,,True,
0540G,Single Gene Test JAK3,34.1.3,New code added in June 2018,,True,
0540U,18-hydroxycortisol level,34.1.1,,,True,
0541A,Magnesium level,34.1.1,,,True,
0541B,Magnesium level,34.1.1,,,True,
0541F,Magnesium level,34.1.1,,,True,
0541G,Single Gene Test Cystatin B gene mutation,34.1.3,New code added in June 2018,,True,
0541O,Magnesium level,34.1.1,,,True,
0541U,Magnesium level,34.1.1,,,True,
0542G,Single Gene Test GALT Mutation Test,34.1.3,New code added in June 2018,,True,
0543G,Single Gene Test SPRED1 gene mutation,34.1.3,New code added in June 2018,,True,
0544G,Single Gene Test P47,34.1.3,New code added in June 2018,,True,
0545G,Single Gene Test CUL7,34.1.3,New code added in June 2018,,True,
0546G,Single Gene Test GSD Type V (PYGM),34.1.3,New code added in June 2018,,True,
0547B,Malaria antigen screen,34.2.0,,,True,
0547G,Single Gene Test DPD Mutation,34.1.3,New code added in June 2018,,True,
0548G,Single Gene Test FABRYS gene mutations,34.1.3,New code added in June 2018,,True,
0549G,Single Gene Test Haemochromatosis (HFE),34.1.3,New code added in June 2018,,True,
0550B,Malarial antibody screen,34.2.0,,,True,
0550G,Single Gene Test VH gene mutation,34.1.3,New code added in June 2018,,True,
0551B,Malarial parasite screen,34.2.0,,,True,
0551G,Single Gene Test DNA probe IL28,34.1.3,New code added in June 2018,,True,
0552G,Single Gene Test MTHFR ? common C677T mutation,34.1.3,New code added in June 2018,,True,
0553B,Maltose level,34.1.1,,,True,
0553F,Maltose level,34.1.1,,,True,
0553G,Single Gene Test Factor V Leiden gene mutation,34.1.3,New code added in June 2018,,True,
0553U,Maltose level,34.1.1,,,True,
0554B,Ornithine level,34.1.1,,,True,1584B
0554C,Ornithine level,34.1.1,,,True,
0554G,Single Gene Test Gaucher's DIS gene mutation,34.1.3,New code added in June 2018,,True,
0554U,Ornithine level,34.1.1,,,True,1584U
0555G,Single Gene Test Prothrombin G20210A gene,34.1.3,New code added in June 2018,,True,
0556B,Orotate level,34.1.1,,,True,
0556G,Single Gene Test Endothelial Nitric Oxide Synthase (eNOS) G894T (Glu294Asp) mutation,34.1.3,New code added in June 2018,,True,
0557G,Single Gene Test Endothelial Nitric Oxide Synthase (eNOS) 8-786C mutation,34.1.3,New code added in June 2018,,True,
0558A,Calcium level,34.1.1,,,True,
0558B,Calcium level,34.1.1,,,True,"1003B, 8016B"
0558G,Single Gene Test Dihydropyridine Dehydrogenase deficiency  (common mutation),34.1.3,New code added in June 2018,,True,
0558O,Calcium level,34.1.1,,,True,
0558U,Calcium level,34.1.1,,,True,8105U
0559G,Single Gene Test Battens disease (CLN2),34.1.3,New code added in June 2018,,True,
0560G,Single Gene Test RAG2 test,34.1.3,New code added in June 2018,,True,
0561B,Pituitary polypeptide alpha-subunit level,34.1.1,,,True,
0561G,Single Gene Test RAG1 test,34.1.3,New code added in June 2018,,True,
0562G,Single Gene Test Peulz Jeghers STK11 Gene Mutation,34.1.3,New code added in June 2018,,True,
0563G,Single Gene Test Genetic Studies - Trypsinogen Gene,34.1.3,New code added in June 2018,,True,
0564G,Single Gene Test Genetic studies - Bulbospinal Neuropathy,34.1.3,New code added in June 2018,,True,
0565G,Single Gene Test  Genetic Studies - DYT1 deletion,34.1.3,New code added in June 2018,,True,
0566G,Single Gene Test TPM2,34.1.3,New code added in June 2018,,True,
0567G,Single Gene Test TPM3,34.1.3,New code added in June 2018,,True,
0568G,Single Gene Test HYPEREOSINOPHILIA  (FIP-1L1),34.1.3,New code added in June 2018,,True,
0569G,Single Gene Test  POMGNT1,34.1.3,New code added in June 2018,,True,
0570G,Single Gene Test BIN1,34.1.3,New code added in June 2018,,True,
0571G,Single Gene Test Coffin Lowry syndrome (RPS6KA3),34.1.3,New code added in June 2018,,True,
0572G,Single Gene Test ARSA gene,34.1.3,New code added in June 2018,,True,
0573G,Single Gene Test DCX gene,34.1.3,New code added in June 2018,,True,
0574G,Single Gene Test Kennedy disease (AR gene),34.1.3,New code added in June 2018,,True,
0575G,Single Gene Test Angelman disease (UBE3A gene),34.1.3,New code added in June 2018,,True,
0576G,Single Gene Test Velo Cardiofacial syndrome,34.1.3,New code added in June 2018,,True,
0577G,Single Gene Test UPD 7 deletion,34.1.3,New code added in June 2018,,True,
0578G,Single Gene Test Ocular albinism (GPR143),34.1.3,New code added in June 2018,,True,
0579G,Single Gene Test Canavan disease (ASPA gene),34.1.3,New code added in June 2018,,True,
0580G,Single Gene Test GCH1,34.1.3,New code added in June 2018,,True,
0581G,Single Gene Test MT-ATP6 gene,34.1.0,New code added in June 2018,,True,
0581G,Single Gene Test MT-ATP6 gene,34.1.3,New code added in June 2018,,True,
0582G,Single Gene Test GPR56 gene,34.1.3,New code added in June 2018,,True,
0583G,Single Gene Test Wilson disease  (ATP7B gene),34.1.3,New code added in June 2018,,True,
0584G,Single Gene Test Hereditary pancreatitis (PRSS1 gene),34.1.3,New code added in June 2018,,True,
0585G,Single Gene Test FKRP gene,34.1.3,New code added in June 2018,,True,
0586G,Single Gene Test RARS 2 gene,34.1.3,New code added in June 2018,,True,
0587G,Single Gene Test SHOX gene,34.1.3,New code added in June 2018,,True,
0588G,Single Gene Test Renpenning syndrome (PQBP1 gene),34.1.3,New code added in June 2018,,True,
0589G,Single Gene Test SMARCB1 gene,34.1.3,New code added in June 2018,,True,
