Code,CodeDescription,chap,HistoricalNotes,Notes,active,CodingPrinciples
22000,Routine electroencephalography (EEG) in adult or child aged over 5 (including reporting),3.9.0,Description changed from Electroencephalography (EEG),,TRUE,"22002, 22002"
22002,Routine electroencephalography (EEG) in child under 5 (including reporting),3.9.0,,,TRUE,22000
22003,Sleep Electroencephalography (EEG),3.9.0,,,TRUE,"22004, 22005, 22028, 22028"
22004,Ambulatory electroencephalography (EEG) (including reporting),3.9.0,Narrative change from 'ambulatory electroencephalography (EEG) (including reporting)' to 'Ambulatory electroencephalography (EEG) (including reporting)' in June 2024,,TRUE,"22003, 22005, 22005"
22005,24 hour video telemetry electroencephalography (EEG) (including reporting),3.9.0,,,TRUE,22004
22007,48 Hour ambulatory electroencephalography (EEG) recording including reporting,0.0.0,New code added in June 2024Code inactivated in June 2024,,FALSE,
22011,Recording and reporting on evoked potential study,3.9.0,,,TRUE,
22021,Anorectal physiology performed by consultant (including reporting),1.1.0,,,TRUE,"22023, 22024, 22025, H4430, H6260, H6261"
22022,Recording and reporting on electromyography and nerve conduction studies (EMG); CTS (Bilateral upper limb only) or peripheral neuropathy,3.9.0,"Split into four new codes, previously: 22020 Recording and reporting on electromyography and nerve conduction studies (EMG). Narrative change from Recording and reporting on electromyography and nerve conduction studies (EMG); CTS (Bilateral U.L. only) or peripheral neuropathy to Recording and reporting on electromyography and nerve conduction studies (EMG); CTS (Bilateral upper limb only) or peripheral neuropathy in Sept 2014",,TRUE,"22023, 22023, 22024, 22024, 22024, 22025, 22025, 22025"
22023,"Recording and reporting on electromyography and nerve conduction studies (EMG); Mononeuropathy (e.g. ulnar), Cx/Lumbar radiculopathy, Myopathy",3.9.0,"Split into four new codes, previously: 22020 Recording and reporting on electromyography and nerve conduction studies (EMG)",,TRUE,"22022, 22024, 22025, 22025"
22024,"Recording and reporting on electromyography and nerve conduction studies (EMG); Mononeuritis Multiplex, MND - AHC, Multiple Muscle Monitoring (e.g. Torticollis), Myaesthenia Gravis (-SFEMG)",3.9.0,"Split into four new codes, previously: 22020 Recording and reporting on electromyography and nerve conduction studies (EMG)",,TRUE,"22022, 22023, 22025"
22025,Recording and reporting on electromyography and nerve conduction studies (EMG); Myaesthenia Gravis (+SFEMG),3.9.0,"Split into four new codes, previously: 22020 Recording and reporting on electromyography and nerve conduction studies (EMG)",,TRUE,"22022, 22023, 22024"
22026,Intraoperative Neurophysiological Monitoring (including Spinal monitoring) - up to 4 hours,3.9.0,Narrative change from 'Spinal monitoring - up to 4 hours' to 'Intraoperative Neurophysiological Monitoring (including Spinal monitoring) - up to 4 hours ' in December 2019,,TRUE,"22027, V3120, V3122, V3140, V3181, V3340, V3341, V3350, V3362, V4010, V4081, V4100, V4100, V4120, V4120, V4122, V4122, V4125, V4150, V4150, V4160, V4170, V4280, V4282"
22027,Intraoperative Neurophysiological Monitoring (including Spinal monitoring) - more than 4 hours,3.9.0,Narrative change from 'Spinal monitoring - more than 4 hours' to 'Intraoperative Neurophysiological Monitoring (including Spinal monitoring) - more than 4 hours ' in December 2019,,TRUE,"22026, V4010, V4100, V4120, V4122, V4150, V4160, V4280"
22028,Inpatient sleep study (polysomnography) including reporting,3.9.0,Narrative changed from Inpatient sleep study (polysomnography)Narrative change from 'Sleep study (polysomnography) including reporting' to 'Inpatient sleep study (polysomnography) including reporting' in January 2019,,TRUE,22003
22029,Home sleep study including reporting,3.9.0,New code added in January 2019,,TRUE,
25000,Incision and drainage (not elsewhere covered),1.2.0,Description changed from Incision and drainage. Please note that this code should not be confused with code F4600 which refers specifically to incision and drainage of the salivary glands.,,TRUE,
25010,Paravertebral block up to two levels (without X-ray control),3.3.0,Description changed from Paravertebral block (without X-ray control),,TRUE,25011
25011,Paravertebral block up to two levels (under X-ray control),3.3.0,,,TRUE,25010
25012,Sacral root block (under X-ray control),3.3.0,,,TRUE,
25020,Intravenous regional sympathetic block (guanethidine block) - 1 injection,3.5.0,,,TRUE,
25021,Intravenous regional sympathetic block (guanethidine block) - course of three,3.5.0,,,FALSE,
25022,Stellate ganglion block (local anaesthetic) +/- image guidance,3.5.0,Narrative change from 'Stellate ganglion block (local anaesthetic)' to 'Stellate ganglion block (local anaesthetic) +/- image guidance' in April 2020,,TRUE,"25030, AC100"
25030,Stellate ganglion block (neurolytic) +/- image guidance,3.5.0,Narrative change from 'Stellate ganglion block (neurolytic)' to 'Stellate ganglion block (neurolytic) +/- image guidance' in April 2020,,TRUE,25022
25040,IV regional anaesthesia (Bier’s block) administered by operator,1.2.0,,,TRUE,"AC100, X3510, X3520"
25100,"Coeliac plexus block, splanchnic nerve block, hypogastric block - diagnostic +/- image guidance",3.5.0,"Following two codes have been combined: 25100 Coeliac plexus block (local anaesthetic or neurolytic), 25110 Splanchnic nerve block - bilateral (local anaesthetic or neurolytic)Narrative change from 'Coeliac plexus block, splanchnic nerve block, hypogastric block - diagnostic' to 'Coeliac plexus block, splanchnic nerve block, hypogastric block - diagnostic +/- image guidance' in April 2020",,TRUE,"25110, W8193"
25110,"Coeliac plexus block, splanchnic nerve block, hypogastric block - therapeutic +/- image guidance",3.5.0,"Following two codes have been combined: 25100 Coeliac plexus block (local anaesthetic or neurolytic), 25110 Splanchnic nerve block - bilateral (local anaesthetic or neurolytic)Narrative change from 'Coeliac plexus block, splanchnic nerve block, hypogastric block - therapeutic' to 'Coeliac plexus block, splanchnic nerve block, hypogastric block - therapeutic +/- image guidance' in April 2020",,TRUE,25100
25120,Dorsal root ganglion block (local anaesthetic or neurolytic) (as sole procedure),3.3.0,Narrative change from 'Dorsal root ganglion block (local anaesthetic or neurolytic)' to 'Dorsal root ganglion block (local anaesthetic or neurolytic) (as sole procedure)' in April 2017Code inactivated in December 2019,,FALSE,"A5290, A5752, A5762, A5772, AC100"
25130,Dorsal root ganglion block (radiofrequency),3.3.0,Code inactivated in December 2019,,FALSE,
25140,Intrathecal neurolysis,3.3.0,,,TRUE,
25150,Trigeminal ganglion injection (local anaesthetic under X-ray control),3.7.0,,,TRUE,"25160, AC100"
25160,Trigeminal ganglion radio frequency lesion (under X-ray control),3.8.0,,,TRUE,25150
64300,Echocardiography (including reporting) as sole procedure,1.1.0,,,TRUE,"20132, CD015"
64301,Echocardiography including bubble contrast (including reporting) as sole procedure,1.1.0,New code added in December 2016Narrative change from 'Echocardiography +/- bubble contrast (including reporting) as sole procedure' to 'Echocardiography including bubble contrast (including reporting) as sole procedure' in June 2019,,TRUE,
64302,Transoesophageal echocardiography (including reporting) (as sole procedure),8.11.0,Narrative change from 'Transoesophageal echocardiography (including reporting)' to 'Transoesophageal echocardiography (including reporting) (as a sole procedure) ' in October 2014Narrative change from '' to 'Transoesophageal echocardiography (including reporting) (as sole procedure)' in December 2014,,TRUE,"K1800, K1850, K2310, K2540, K2542, K2560, K2580, K2590, K2600, K2610, K2612, K2613, K2700, K2780, K2800, K3100, K3210, K3500, K4100, K4180, K4410, L2382"
A0110,Hemispherotomy,2.1.0,Narrative change from Hemispherectomy to Hemispherotomy in June 14,,TRUE,"A0180, A0200, A0300, A0380, A0400, A0900, A0901, A3200, A3900, V0110, V0310"
A0180,Excision of abscess of brain,2.1.0,,,TRUE,"A0110, A0200, A0300, A0310, A0380, A0400, A3810, A3900, V0310"
A0200,Excision of lesion of tissue of brain,2.1.0,,,TRUE,"A0110, A0180, A0280, A0300, A0310, A0380, A0400, A3810, A3900, V0310"
A0260,Excision of arteriovenous malformation from vessels of brain,2.5.0,,,TRUE,"A3900, A4080, L3320, L3380, L3400, V0310, XR302, XR303, XR390"
A0280,Awake craniotomy with ablation of lesion of brain +/- cortical mapping/stereotaxy,2.1.0,,,TRUE,"A0200, A0300, A0380, A0400, A3810, A3900, V0310"
A0300,Stereotactic ablation of tissue of brain,2.1.0,Code inactivated in October 2023,,FALSE,"A0110, A0180, A0200, A0280, A0310, A0380, A0400, A3810, V0310"
A0310,Stereotactic biopsy of lesion or tissue of brain,2.1.0,,,TRUE,"A0180, A0200, A0300, A0380, A0400"
A0321,MRI-guided focused ultrasound (MRgFUS) thalamotomy for essential tremor,2.1.0,New code added in March 2018,,TRUE,
A0380,Stereotactic radiotherapy (SRT) using GammaKnife or similar SRT technology,2.1.0,Description changed from Stereotactic radiosurgery (gamma knife surgery)Code inactivated in February 2021,,FALSE,"A0110, A0180, A0200, A0280, A0300, A0310, A0400"
A0400,Biopsy of lesion of tissue of brain (including via a burr hole or stealth guided),2.1.0,Narrative change from Open biopsy of lesion of tissue of brain to Biopsy of lesion of tissue of brain (including via a burr hole or stealth guided) in October 2013,,TRUE,"A0110, A0180, A0200, A0280, A0300, A0310, A0380, A3900, V0310"
A0900,Implantation of neurostimulator to brain,2.1.0,Narrative change from 'Implantation/removal of neurostimulator from brain (any route)' to 'Implantation of neurostimulator from brain (any route)' in March 2015Narrative change from 'Implantation of neurostimulator from brain (any route)' to 'Implantation of neurostimulator to brain' in April 2015,,TRUE,"A0110, A0980, A3300, A3330, V0310"
A0901,Removal of neurostimulator from brain,2.1.0,New code added in March 2015Narrative change from 'Removal of neurostimulator from brain (any route)' to 'Removal of neurostimulator from brain' in April 2015,,TRUE,"A0110, A0980, A3300, A3330, V0310"
A0920,Replacement of neurostimulator to brain,2.1.0,New code added in April 2015,,TRUE,
A0980,Deep brain stimulation,2.1.0,Narrative change from Deep brain stimulation for Parkinson's disease to Deep brain stimulation in June 14,,TRUE,"A0900, A0901, A3300, A3330, V0110, V0310"
A1060,Fiducial placement,2.1.0,,,TRUE,
A1060,Fiducial placement,20.0.0,,,TRUE,
A1070,"Stereotactic radiotherapy (SRT), first/sole session using Cyberknife or similar SRT technology",2.1.0,Code inactivated in February 2021,,FALSE,
A1080,"Stereotactic radiotherapy (SRT), second to fifth sessions, including adjustments, using Cyberknife or similar SRT technology",2.1.0,Code inactivated in February 2021,,FALSE,
A1130,Insertion of intracranial pressure (ICP) monitoring device,2.2.0,New code added in December 2017,,TRUE,
A1210,Ventriculocisternostomy,2.1.0,Code inactivated since procedure very rarely performed,Inactive January 2006,FALSE,
A1220,Creation of ventriculovascular anastomosis,2.1.0,,,TRUE,"A1240, A1300, A1430, A1440, A1700, A2080, V0310"
A1240,Creation of ventriculoperitoneal shunt,2.1.0,,,TRUE,"A1220, A1300, A1301, A1430, A1440, A1700, A2080, V0310"
A1250,Creation of subcutaneous cerebrospinal fluid reservoir,2.1.0,,,TRUE,A1700
A1300,Maintenance of cerebroventricular shunt,2.1.0,Changed to Maintenance of cerebroventricular shunt from Maintenance of cerebroventricular shunt (including revision) in October 2013.,,TRUE,"A1220, A1240, A1301, A1430, A1440, A1700, A2080"
A1301,Revision or replacement of cerebroventricular shunt,2.1.0,,,TRUE,"A1240, A1300, A1430, A1440, A1700, A2080"
A1430,Removal of cerebroventricular shunt,2.1.0,,,TRUE,"A1220, A1240, A1300, A1301, A1440, A1700, A2080"
A1440,Irrigation of cerebroventricular shunt,2.1.0,,,TRUE,"A1220, A1240, A1300, A1301, A1430, A1700, A2080"
A1700,Therapeutic endoscopic operations on ventricle of brain (including examination and biopsy of lesion),2.1.0,Description changed from Therapeutic endoscopic operations on ventricle of brain,,TRUE,"A1220, A1240, A1250, A1300, A1301, A1430, A1440, A2080, V0310"
A1810,Diagnostic endoscopic examination and biopsy of lesion of ventricle of brain,2.1.0,Now covered within the revised description for A1700,,FALSE,
A2080,Ventricular puncture (as sole procedure),2.1.0,Description changed from Ventricular puncture,,TRUE,"A1220, A1240, A1300, A1301, A1430, A1440, A1700, A2220"
A2210,Drainage of subarachnoid space of brain,2.3.0,,,TRUE,"A3810, A3830"
A2220,Puncture of cistern of brain,2.1.0,,,TRUE,A2080
A2223,Cerebral angiogram,2.1.0,,,TRUE,XR390
A2500,Intracranial transection of cranial nerve,2.4.0,,,TRUE,"A2600, A2900, A3000, A3200"
A2600,Other intracranial destruction of cranial nerve,2.4.0,,,TRUE,"A2500, A2900"
A2720,Proximal gastric vagotomy,11.2.0,,,TRUE,"A2730, A2780, A2781, G2710, G2711, G2800, G2810, G2811"
A2720,Proximal gastric vagotomy,8.11.0,,,TRUE,"A2730, A2780, A2781, G2710, G2711, G2800, G2810, G2811"
A2730,Highly selective vagotomy,11.2.0,,,TRUE,"A2720, A2780, A2781, G2710, G2711, G2800, G2810, G2811"
A2730,Highly selective vagotomy,8.11.0,,,TRUE,"A2720, A2780, A2781, G2710, G2711, G2800, G2810, G2811"
A2780,Vagotomy with pyloroplasty,11.2.0,,,TRUE,"A2720, A2730, A2781, G2710, G2711, G2800, G2810, G2811, G4010, G4030"
A2780,Vagotomy with pyloroplasty,8.11.0,,,TRUE,"A2720, A2730, A2781, G2710, G2711, G2800, G2810, G2811, G4010, G4030"
A2781,Laparoscopic vagotomy/seromyotomy,11.1.0,,,TRUE,"A2720, A2730, A2780, G0400, G0922, G0980, G4440, G6500, T4130, T4300, T4302, T4303"
A2781,Laparoscopic vagotomy/seromyotomy,8.1.0,,,TRUE,"A2720, A2730, A2780, G0400, G0922, G0980, G4440, G6500, T4130, T4300, T4302, T4303"
A2900,Excision of lesion of cranial nerve (intracranial),2.4.0,,,TRUE,"A2500, A2600, A3000, A3200, V0310"
A2950,Excision of acoustic neuroma,2.4.0,,,FALSE,
A2952,Excision of acoustic neuroma (vestibular schwannoma) - tumours less than 2.5cm (performed by single surgeon),2.4.0,Description changed from Acoustic and cerebello-pontine angle neuroma surgery - tumours less than 2.5 cms (performed by single surgeon) Narrative change from Excison of acoustic and cerebello-pontine angle neuroma - tumours less than 2.5 cms performed by single surgeon to Excision of acoustic neuroma (vestibular schwannoma) - tumours less than 2.5cm (performed by single surgeon) in July 2014,,TRUE,"A2953, A2954, A3680, A3900, V0310"
A2952,Excision of acoustic neuroma (vestibular schwannoma) - tumours less than 2.5cm (performed by single surgeon),5.3.0,Description changed from Acoustic and cerebello-pontine angle neuroma surgery - tumours less than 2.5 cms (performed by single surgeon) Narrative change from Excison of acoustic and cerebello-pontine angle neuroma - tumours less than 2.5 cms performed by single surgeon to Excision of acoustic neuroma (vestibular schwannoma) - tumours less than 2.5cm (performed by single surgeon) in July 2014,,TRUE,"A2953, A2954, A3680, A3900, V0310"
A2953,Excision of acoustic neuroma (vestibular schwannoma) - tumours more than 2.5cm or compressing brain stem (performed by single surgeon),2.4.0,Description changed from Acoustic and cerebello-pontine angle neuroma surgery - tumours more than 2.5 cms or compressing brain stem (performed by single surgeon) Narrative change from Excision of acoustic and cerebello-pontine angle neuroma - tumours more than 2.5 cms or compressing brain stem performed by single surgeon to Excision of acoustic neuroma (vestibular schwannoma) - tumours more than 2.5cm or compressing brain stem (performed by single surgeon) in July 2014,,TRUE,"A2952, A2954, A3680, A3900, V0310"
A2953,Excision of acoustic neuroma (vestibular schwannoma) - tumours more than 2.5cm or compressing brain stem (performed by single surgeon),5.3.0,Description changed from Acoustic and cerebello-pontine angle neuroma surgery - tumours more than 2.5 cms or compressing brain stem (performed by single surgeon) Narrative change from Excision of acoustic and cerebello-pontine angle neuroma - tumours more than 2.5 cms or compressing brain stem performed by single surgeon to Excision of acoustic neuroma (vestibular schwannoma) - tumours more than 2.5cm or compressing brain stem (performed by single surgeon) in July 2014,,TRUE,"A2952, A2954, A3680, A3900, V0310"
A2954,Excision of acoustic neuroma (vestibular schwannoma) - tumours managed by combined oto-neurosurgical team irrespective of tumour size,2.4.0,Description changed from Acoustic and cerebello-pontine angle neuroma surgery - tumours managed by combined oto-neurosurgical team irrespective of tumour size Narrative change from Excision of acoustic and cerebello-pontine angle neuroma - tumours managed by combined oto-neurosurgical team irrespective of tumour size to Excision of acoustic neuroma (vestibular schwannoma) - tumours managed by combined oto-neurosurgical team irrespective of tumour size in July 2014,,TRUE,"A2952, A2953, A3680, A3900, V0310"
A2954,Excision of acoustic neuroma (vestibular schwannoma) - tumours managed by combined oto-neurosurgical team irrespective of tumour size,5.3.0,Description changed from Acoustic and cerebello-pontine angle neuroma surgery - tumours managed by combined oto-neurosurgical team irrespective of tumour size Narrative change from Excision of acoustic and cerebello-pontine angle neuroma - tumours managed by combined oto-neurosurgical team irrespective of tumour size to Excision of acoustic neuroma (vestibular schwannoma) - tumours managed by combined oto-neurosurgical team irrespective of tumour size in July 2014,,TRUE,"A2952, A2953, A3680, A3900, V0310"
A3000,Repair of cranial nerve (intracranial),2.4.0,,,TRUE,"A2500, A2900, A3200, S0120, V0310"
A3200,Decompression of cranial nerve (craniotomy),2.4.0,,,TRUE,"A0110, A2500, A2900, A3000, A3900, V0110, V0310"
A3300,Implantation of neurostimulator to cranial nerve,2.4.0,Narrative change from 'Neurostimulation of cranial nerve (intracranial)' to 'Implantation of neurostimulator to cranial nerve' in April 2015,,TRUE,"A0900, A0901, A0980, A3330"
A3320,Replacement of neurostimulator to cranial nerve,2.4.0,New code added in April 2015,,TRUE,
A3330,Removal of neurostimulator from cranial nerve,2.4.0,,,TRUE,"A0900, A0901, A0980, A3300"
A3380,Repetitive transcranial magnetic stimulation for depression,2.1.0,New code added in April 2016,,TRUE,
A3400,Phrenic Nerve Pacing Implantation,3.2.0,New code added in August 2023,,TRUE,
A3680,Excision of cerebellopontine angle tumour,2.4.0,,,TRUE,"A2952, A2953, A2954"
A3810,Excision of lesion of meninges of brain,2.3.0,,,TRUE,"A0180, A0200, A0280, A0300, A2210, A3830, A3900, A4010, A4110, A4180, V0310"
A3830,Operation for arachnoidal cyst,2.3.0,,,TRUE,"A2210, A3810, V0310, XR920"
A3900,Repair of dura,2.3.0,,,TRUE,"A0110, A0180, A0200, A0260, A0280, A0400, A2952, A2953, A2954, A3200, A3810, A4010, A4110, A4180, A5110, B0410, V0310"
A4010,Evacuation of extradural haematoma,2.3.0,,,TRUE,"A3810, A3900, A4110, A4180, V0310"
A4080,Craniotomy - post-operative haemorrhage,2.5.0,,,TRUE,"A0260, L3320, L3380, L3400, V0310"
A4110,Evacuation of subdural haematoma or abscess,2.3.0,,,TRUE,"A3810, A3900, A4010, A4180, V0310"
A4180,Subdural haemorrhage - tap,2.3.0,,,TRUE,"A3810, A3900, A4010, A4110"
A4280,Intracranial infection : burrhole,2.2.0,,,TRUE,"V0310, V0330, V0510"
A4400,Partial excision of spinal cord,3.2.0,,,TRUE,
A4500,Open operations on spinal cord,3.2.0,Code inactivated in December 2024,,FALSE,A4730
A4730,Percutaneous cordotomy of spinal cord,3.2.0,,,TRUE,A4500
A4820,Replacement of neurostimulator to spinal cord,3.2.0,New code added in April 2015,,TRUE,
A4831,Trial of neurostimulator to spinal cord (as sole procedure) not at time of permanent implant,3.2.0,Narrative change from Trial of dorsal column stimulator to Trial of spinal cord stimulator (as sole procedure) not at time of permanent implant in April 14Narrative change from 'Trial of spinal cord stimulator (as sole procedure) not at time of permanent implant' to 'Trial of neurostimulator to spinal cord (as sole procedure) not at time of permanent implant' in April 2015,,TRUE,A4832
A4832,Implantation of neurostimulator to spinal cord,3.2.0,Narrative change from Implantation/removal of dorsal column stimulator to Implantation/removal of spinal cord stimulator in Jan 14 Narrative change from Implantation/removal of spinal cord stimulator to Implantation of spinal cord stimulator in April 14Narrative change from 'Implantation of spinal cord stimulator' to 'Implantation of neurostimulator to spinal cord' in April 2015,,TRUE,A4831
A4833,Implantation of neurostimulator to multifidus,3.2.0,New code added in April 2023,,TRUE,
A4834,Removal of neurostimulator to multifidus,3.2.0,New code added in April 2023,,TRUE,
A4840,Removal of neurostimulator from spinal cord or peripheral nerve,3.2.0,Narrative change from 'Removal of permanently implanted neurostimulator (spinal cord or peripheral nerve)' to 'Removal of neurostimulator from spinal cord or peripheral nerve' in April 2015Code inactivated in September 2019,Replaced by A4841 and A4842,FALSE,
A4841,Removal of neurostimulator from spinal cord (as sole procedure),3.2.0,New code added in September 2019Narrative change from 'Removal of neurostimulator from spinal cord' to 'Removal of neurostimulator from spinal cord (as sole procedure)' in December 2019,,TRUE,
A4842,Removal of neurostimulator from peripheral nerve (as a sole procedure),3.2.0,New code added in September 2019Narrative change from 'Removal of neurostimulator from peripheral nerve' to 'Removal of neurostimulator from peripheral nerve (as a sole procedure)' in December 2019,,TRUE,
A4850,Implantation/removal of intrathecal drug delivery system,3.2.0,,,TRUE,
A4860,Implantation/removal of epidural delivery system,3.2.0,,,TRUE,
A4900,Repair of spinal myelomeningocele,3.2.0,,,TRUE,
A5110,Excision of intradural lesion,3.2.0,,,TRUE,A3900
A5200,Epidural injection (cervical),3.3.0,,,TRUE,"A5200, A5200, A5210, A5211, A5220, A5230, A5290, A5291, A5410, A5743, A5744, A5753, A5754, A5763, A5764, A5773, A5774, A5775, A7300, A7302, A7350, A7352, V5003"
A5210,Epidural injection (lumbar),3.3.0,Description changed from Epidural injection (lumbar)Narrative change from 'Epidural injection (lumbar/caudal)' to 'Epidural injection (lumbar)' in June 2015,,TRUE,"A5200, A5210, A5210, A5211, A5220, A5230, A5293, A5410, A5480, A5744, A5745, A5754, A5755, A5756, A5764, A5765, A5766, A5774, A5775, A5790, A7300, A7302, A7350, A7352, R1820, R2010, R2120, V2500, V2501, V2540, V2541, V2542, V2543, V2544, V2546, V2652, V3362, V5002, V5003, W1700, W3712, W3713, W3714, W3715, W3716, W3720, W3721, W3732, W3733, W3734, W3744, W3745, W3751, W3780, W3942, W3943, W3944, W4600, X2262"
A5211,Epidural injection (caudal),3.3.0,New code added in June 2015,,TRUE,"A5200, A5210, A5211, A5211, A5230, A5294, A5410, A5480, A5745, A5755, A5756, A5765, A5766, A5775, A5790, A7300, A7302, A7350, A7352, R1820, R2010, R2120, V2500, V2540, V2542, V2543, V2544, V2652, V3362, V5002, V5003, W1700, W3712, W3713, W3714, W3715, W3716, W3720, W3721, W3732, W3733, W3734, W3744, W3745, W3751, W3780, W3942, W3943, W3944, W4600, X2262"
